code,name,gap_down_date,gap_down_prev_low,gap_down_high,gap_down_pct,gap_up_date,gap_up_prev_high,gap_up_low,gap_up_pct,island_days,island_max_high,volume_ratio,gap_up_volume,gap_up_close
605123,派克新材,2026-07-14,84.87,83.99,1.04,2026-08-04,79.8,79.99,0.24,15,83.99,2.09,3710820,81.53
301120,新特电气,2026-06-26,18.73,18.49,1.28,2026-08-03,14.35,14.55,1.39,26,18.49,3.26,29493975,15.5
600580,卧龙电驱,2026-07-08,35.81,35.5,0.87,2026-08-03,31.69,32.0,0.98,18,35.5,2.99,106692247,34.51
601118,海南橡胶,2026-06-25,5.3,5.25,0.94,2026-08-03,4.99,5.02,0.6,27,5.25,2.14,96980882,5.2
600580,卧龙电驱,2026-07-08,35.81,35.5,0.87,2026-07-31,29.54,30.33,2.67,17,35.5,2.7,70232760,31.69
688158,优刻得,2026-07-24,30.23,30.17,0.2,2026-07-31,28.25,28.28,0.11,5,30.17,2.62,43883451,30.77
688777,中控技术,2026-07-13,105.88,105.0,0.83,2026-07-31,83.29,84.08,0.95,14,105.0,2.26,34160447,93.12
301626,苏州天脉,2026-07-16,300.2,298.05,0.72,2026-07-30,208.12,208.84,0.35,10,298.05,2.24,3915276,211.3
600895,张江高科,2026-07-15,34.66,33.52,3.29,2026-07-29,31.04,31.05,0.03,10,33.52,5.3,90372233,31.35
300293,蓝英装备,2026-07-13,17.8,17.66,0.79,2026-07-28,14.6,15.71,7.6,11,17.66,6.44,306335,16.95
920509,同惠电子,2026-07-13,23.8,23.66,0.59,2026-07-28,18.7,19.41,3.8,11,23.66,3.13,5999639,19.9
600775,南京熊猫,2026-06-25,10.47,10.39,0.76,2026-07-28,9.41,9.7,3.08,23,10.39,2.63,56707574,10.35
002387,维信诺,2026-07-15,7.31,7.1,2.87,2026-07-28,6.27,6.28,0.16,9,7.1,2.4,28865988,6.86
300341,麦克奥迪,2026-06-25,14.99,14.51,3.2,2026-07-28,11.92,11.99,0.59,23,14.51,2.23,108290,12.41
002549,凯美特气,2026-07-15,16.09,15.43,4.1,2026-07-28,13.68,13.71,0.22,9,15.43,2.1,66046769,14.01
000595,新能股份,2026-07-08,5.86,5.85,0.17,2026-07-24,5.52,5.81,5.25,12,5.85,6.28,120483185,6.07
920222,益坤电气,2026-07-07,29.32,29.28,0.14,2026-07-24,28.6,28.83,0.8,13,29.28,3.62,8154144,31.6
601678,滨化股份,2026-07-06,6.93,6.79,2.02,2026-07-24,6.22,6.46,3.86,14,6.79,3.08,515475010,6.54
300651,金陵体育,2026-06-11,22.93,22.7,1.0,2026-07-23,16.26,16.51,1.54,29,22.7,2.89,202510,17.35
600158,中体产业,2026-06-11,9.31,9.27,0.43,2026-07-23,6.54,6.6,0.92,29,9.27,2.61,102024522,6.88
000603,盛达资源,2026-07-07,24.12,24.01,0.46,2026-07-23,22.57,22.86,1.28,12,24.01,2.1,69170347,24.83
603629,利通电子,2026-06-26,146.75,146.33,0.29,2026-07-23,118.34,119.33,0.84,19,146.33,2.0,64837306,120.68
000426,兴业银锡,2026-07-17,29.83,29.65,0.6,2026-07-22,29.62,30.59,3.27,3,29.65,2.01,112602470,31.73
001258,立新能源,2026-06-08,9.89,9.61,2.83,2026-07-21,9.1,9.55,4.95,30,9.61,3.59,158971100,10.01
600644,乐山电力,2026-06-11,10.13,10.06,0.69,2026-07-20,9.01,9.06,0.55,26,10.1,3.38,69210540,9.91
600744,华银电力,2026-07-06,6.3,6.2,1.59,2026-07-20,5.96,6.1,2.35,10,6.2,3.19,174373548,6.56
001258,立新能源,2026-06-08,9.89,9.61,2.83,2026-07-20,8.27,8.4,1.57,29,9.61,2.74,82136135,9.1
688166,博瑞医药,2026-06-22,39.85,38.0,4.64,2026-07-16,35.44,36.29,2.4,18,38.74,5.31,48393823,42.5
000504,南华生物,2026-06-04,9.44,9.43,0.11,2026-07-16,8.51,8.71,2.35,28,9.43,3.49,28736201,9.36
600199,金种子酒,2026-06-03,8.18,8.15,0.37,2026-07-16,6.94,6.99,0.72,30,8.15,3.27,60660882,7.29
603949,雪龙集团,2026-07-15,15.29,13.76,10.01,2026-07-16,13.76,13.96,1.45,1,13.76,2.92,19735151,14.7
688255,凯尔达,2026-07-13,25.8,25.75,0.19,2026-07-16,24.34,25.22,3.62,3,25.75,2.78,10209826,26.82
002243,力合科创,2026-06-10,7.88,7.64,3.05,2026-07-15,6.85,7.01,2.34,24,7.64,4.78,56527127,7.01
300628,亿联网络,2026-06-08,38.34,38.05,0.76,2026-07-15,33.96,35.53,4.62,26,38.05,2.69,255070,37.49
002379,宏桥控股,2026-06-08,18.55,18.2,1.89,2026-07-15,17.49,17.62,0.74,26,18.53,2.57,126442159,18.66
601995,中金公司,2026-07-13,36.11,36.07,0.11,2026-07-15,35.44,35.51,0.2,2,36.07,2.54,79051480,38.34
603393,新天然气,2026-06-17,26.55,26.48,0.26,2026-07-14,23.05,23.15,0.43,18,26.48,2.42,18362744,24.18
000968,蓝焰控股,2026-06-09,7.22,7.14,1.11,2026-07-14,6.52,6.57,0.77,24,7.18,2.07,67322378,7.04
600821,金开新能,2026-06-08,8.01,7.98,0.37,2026-07-13,6.11,6.17,0.98,24,7.98,3.69,2194724,6.36
601139,深圳燃气,2026-06-08,6.23,6.22,0.16,2026-07-13,5.89,5.96,1.19,24,6.22,2.68,39923980,6.06
600085,同仁堂,2026-06-03,25.1,25.05,0.2,2026-07-13,23.81,23.84,0.13,27,25.05,2.44,22858971,24.53
002208,合肥城建,2026-07-02,20.08,19.9,0.9,2026-07-10,19.12,19.4,1.46,6,19.98,2.56,134742961,19.43
002902,铭普光磁,2026-06-24,32.53,31.84,2.12,2026-07-10,26.66,26.67,0.04,12,31.84,2.14,33813080,27.42
002490,山东墨龙,2026-06-18,7.41,7.29,1.62,2026-07-09,6.97,7.16,2.73,14,7.29,3.35,91465701,7.67
920088,科力股份,2026-06-17,39.47,39.26,0.53,2026-07-09,36.0,36.6,1.67,15,39.26,3.34,10475514,38.99
920010,凯添燃气,2026-06-12,10.71,10.53,1.68,2026-07-08,7.7,7.74,0.52,17,10.53,2.82,12042648,7.76
920088,科力股份,2026-06-25,34.99,34.57,1.2,2026-07-08,32.89,33.0,0.33,9,34.57,2.81,6654001,34.84
002490,山东墨龙,2026-06-18,7.41,7.29,1.62,2026-07-08,6.45,6.55,1.55,13,7.29,2.42,51720734,6.97
603538,美诺华,2026-05-25,35.22,34.99,0.65,2026-07-07,30.37,30.38,0.03,30,34.99,2.09,79985024,31.09
600749,西藏旅游,2026-06-16,15.7,15.68,0.13,2026-07-06,14.08,14.42,2.41,13,15.68,2.57,15932000,14.95
920021,流金科技,2026-06-11,9.03,8.95,0.89,2026-07-02,7.25,7.4,2.07,14,8.95,2.93,32969590,7.69
000603,盛达资源,2026-06-24,24.8,24.75,0.2,2026-07-01,23.1,23.57,2.03,5,24.75,2.06,51778772,25.41
001237,惠康科技,2026-06-03,70.67,69.97,0.99,2026-06-30,65.2,66.0,1.23,18,69.97,2.52,10635994,71.72
301680,固德电材,2026-06-26,112.52,112.3,0.2,2026-06-30,105.68,110.01,4.1,2,112.3,2.08,3334964,120.99
000521,长虹美菱,2026-06-18,5.53,5.52,0.18,2026-06-29,5.08,5.22,2.76,6,5.52,4.38,37106769,5.49
688349,三一重能,2026-06-01,15.71,15.69,0.13,2026-06-26,13.72,13.83,0.8,18,15.69,2.67,29695905,14.45
002580,圣阳股份,2026-06-04,24.25,23.98,1.11,2026-06-24,23.19,23.6,1.77,13,23.98,2.07,130564405,25.51
603339,四方科技,2026-05-13,13.93,13.89,0.29,2026-06-23,13.81,13.99,1.3,28,13.89,4.07,23681003,14.36
000751,锌业股份,2026-05-15,6.14,6.09,0.81,2026-06-23,5.67,5.89,3.88,26,6.09,3.86,317005935,6.03
920223,荣亿精密,2026-06-11,16.51,16.35,0.97,2026-06-23,14.68,15.08,2.72,7,16.35,3.75,8613958,15.49
002312,川发龙蟒,2026-05-18,10.21,10.17,0.39,2026-06-23,9.26,9.56,3.24,25,10.17,3.21,108459546,9.59
600379,宝光股份,2026-05-20,15.07,15.04,0.2,2026-06-23,12.49,12.59,0.8,23,15.04,2.06,28011239,13.73
603232,格尔软件,2026-06-08,18.53,18.35,0.97,2026-06-23,16.19,16.42,1.42,10,18.35,2.02,18163508,17.14
600769,祥龙电业,2026-05-21,21.0,19.36,7.81,2026-06-22,19.16,19.5,1.77,21,19.36,2.39,46229395,21.08
688515,裕太微,2026-06-04,240.33,231.99,3.47,2026-06-22,238.8,245.66,2.87,11,238.8,2.1,10265527,271.6
301363,美好医疗,2026-05-20,21.07,20.99,0.38,2026-06-18,19.07,19.18,0.58,21,20.99,2.36,33199378,19.81
300099,尤洛卡,2026-05-26,8.62,8.6,0.23,2026-06-17,8.05,8.1,0.62,16,8.6,4.72,88156866,8.18
300040,九洲集团,2026-06-08,7.53,7.45,1.06,2026-06-17,6.59,6.88,4.4,7,7.45,2.51,80534361,6.89
300014,亿纬锂能,2026-06-04,62.73,62.0,1.16,2026-06-16,58.87,63.87,8.49,8,62.0,3.15,166540828,66.88
000733,振华科技,2026-06-08,55.57,54.13,2.59,2026-06-16,51.53,53.04,2.93,6,54.13,2.27,89568071,55.96
002088,鲁阳节能,2026-05-18,9.05,9.04,0.11,2026-06-15,8.62,8.66,0.46,20,9.04,3.6,12330698,8.85
002985,北摩高科,2026-05-12,36.05,36.01,0.11,2026-06-15,29.99,30.2,0.7,24,36.01,3.27,15754565,31.12
601021,春秋航空,2026-06-08,45.2,44.79,0.91,2026-06-15,45.18,46.84,3.67,5,45.18,2.91,23841132,47.88
300848,美瑞新材,2026-05-08,17.31,17.25,0.35,2026-06-15,14.29,14.66,2.59,26,17.25,2.87,136721,15.49
000751,锌业股份,2026-05-15,6.14,6.09,0.81,2026-06-15,5.09,5.12,0.59,21,6.09,2.48,146621134,5.39
